time,temperature_2m,relative_humidity_2m,precipitation,city
2026-08-24 13:00:00,28.3,57,0.2,Bengaluru
2026-08-24 14:00:00,28.4,57,0.2,Bengaluru
2026-08-24 15:00:00,27.1,62,0.7,Bengaluru
2026-08-24 16:00:00,25.0,70,0.7,Bengaluru
2026-08-24 17:00:00,23.3,78,0.7,Bengaluru
2026-08-24 18:00:00,22.6,84,0.6,Bengaluru
2026-08-24 19:00:00,22.3,88,0.6,Bengaluru
2026-08-24 20:00:00,22.0,91,0.6,Bengaluru
2026-08-24 21:00:00,21.5,92,0.0,Bengaluru
2026-08-24 22:00:00,21.1,92,0.0,Bengaluru
2026-08-24 23:00:00,20.8,92,0.0,Bengaluru
2026-08-25 00:00:00,20.6,92,0.0,Bengaluru
2026-08-25 01:00:00,20.6,92,0.0,Bengaluru
2026-08-25 02:00:00,20.6,92,0.0,Bengaluru
2026-08-25 03:00:00,20.5,93,0.1,Bengaluru
2026-08-25 04:00:00,20.5,95,0.1,Bengaluru
2026-08-25 05:00:00,20.6,94,0.1,Bengaluru
2026-08-25 06:00:00,20.9,92,0.1,Bengaluru
2026-08-25 07:00:00,21.4,88,0.1,Bengaluru
2026-08-25 08:00:00,22.2,82,0.1,Bengaluru
2026-08-25 09:00:00,23.6,75,0.3,Bengaluru
2026-08-25 10:00:00,25.2,68,0.3,Bengaluru
2026-08-25 11:00:00,26.5,63,0.3,Bengaluru
2026-08-25 12:00:00,27.2,61,0.5,Bengaluru
2026-08-25 13:00:00,27.6,59,0.5,Bengaluru
2026-08-25 14:00:00,27.3,61,0.5,Bengaluru
2026-08-25 15:00:00,25.8,67,0.5,Bengaluru
2026-08-25 16:00:00,23.6,77,0.5,Bengaluru
2026-08-25 17:00:00,22.1,86,0.5,Bengaluru
2026-08-25 18:00:00,21.7,88,0.1,Bengaluru
2026-08-25 19:00:00,22.0,87,0.1,Bengaluru
2026-08-25 20:00:00,22.1,86,0.1,Bengaluru
2026-08-25 21:00:00,21.7,87,0.0,Bengaluru
2026-08-25 22:00:00,21.3,89,0.0,Bengaluru
2026-08-25 23:00:00,20.9,90,0.0,Bengaluru
2026-08-26 00:00:00,20.9,90,0.0,Bengaluru
2026-08-26 01:00:00,21.0,89,0.0,Bengaluru
2026-08-26 02:00:00,21.1,88,0.0,Bengaluru
2026-08-26 03:00:00,21.0,89,0.1,Bengaluru
2026-08-26 04:00:00,21.0,91,0.1,Bengaluru
2026-08-26 05:00:00,21.1,90,0.1,Bengaluru
2026-08-26 06:00:00,21.5,86,0.0,Bengaluru
2026-08-26 07:00:00,22.0,82,0.0,Bengaluru
2026-08-26 08:00:00,22.8,76,0.0,Bengaluru
2026-08-26 09:00:00,24.0,71,0.1,Bengaluru
2026-08-26 10:00:00,25.5,65,0.1,Bengaluru
2026-08-26 11:00:00,26.5,61,0.1,Bengaluru
2026-08-26 12:00:00,26.3,63,0.3,Bengaluru
2026-08-26 13:00:00,26.6,62,0.3,Bengaluru
